qid,v4,v5,v6,v7,v8,v9,v10,v11,v12
fin_a_014,AB,AB,AB,AB,AB,AB,AB,AB,AB
fin_a_015,A,A,A,A,A,A,A,A,A
fin_a_016,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
fin_a_017,AC,AC,AC,AC,AC,AC,AC,AC,AC
fin_a_018,A,A,A,A,A,A,A,A,A
fin_a_019,AB,AB,AB,AB,AB,AB,AB,AB,AB
fin_a_020,AB,AB,AB,AB,AB,AB,AB,AB,AB
ins_a_001,B,B,B,B,B,B,B,B,B
ins_a_002,A,A,A,A,A,A,A,A,A
ins_a_003,A,A,A,A,A,A,A,A,A
ins_a_004,A,A,A,A,A,A,A,A,A
ins_a_005,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD
ins_a_006,C,A,A,A,A,A,A,A,A
ins_a_007,BC,BC,BC,BC,BC,BC,BC,BC,BC
ins_a_008,ABC,ABC,ABC,ABC,AC,ABC,ABC,ABC,ABC
ins_a_009,C,C,C,C,C,C,C,C,C
ins_a_010,AB,AB,AB,AB,AB,AB,AB,AB,AB
ins_a_011,BC,BC,BC,BC,BC,BC,BC,BC,BC
ins_a_012,A,A,A,A,A,A,A,A,A
ins_a_013,A,A,A,A,A,A,A,A,A
ins_a_014,AB,AB,AB,AB,AB,AB,AB,AB,AB
ins_a_015,AB,AB,AB,AB,AB,AB,AB,AB,AB
ins_a_016,A,CD,CD,CD,CD,CD,CD,CD,CD
ins_a_017,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD
ins_a_018,BC,BCD,BCD,BCD,BCD,BCD,BCD,BCD,BCD
ins_a_019,ABC,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD
ins_a_020,D,D,D,D,D,D,D,D,D
reg_a_001,CD,CD,ACD,ACD,ACD,ACD,ACD,ACD,C
reg_a_002,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
reg_a_003,B,B,B,A,A,A,A,A,A
reg_a_004,AB,AB,ABC,ABC,ABC,AC,AC,ABC,A
reg_a_005,AC,AC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
reg_a_006,B,A,A,A,A,A,A,A,A
reg_a_007,AC,ACD,ACD,ACD,ACD,ACD,ACD,ACD,ACD
reg_a_008,A,A,A,A,A,A,A,A,A
reg_a_009,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
reg_a_010,B,B,B,B,B,B,B,B,B
reg_a_011,AC,AC,AC,AC,AC,AC,AC,AC,AC
reg_a_012,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
reg_a_013,A,A,A,A,A,A,A,A,A
reg_a_014,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
reg_a_015,C,C,C,C,C,C,C,C,C
reg_a_016,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
reg_a_017,AB,AB,AB,AB,AB,AB,AB,AB,AB
reg_a_018,A,A,A,A,A,A,A,A,A
reg_a_019,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
reg_a_020,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
res_a_001,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_002,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_003,B,B,B,B,B,A,A,A,A
res_a_004,AB,AB,AB,AB,AB,AB,AB,AB,AB
res_a_005,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_006,A,A,B,B,B,B,B,B,B
res_a_007,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_008,A,A,A,A,A,A,A,A,A
res_a_009,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_010,A,A,A,A,A,A,A,A,A
res_a_011,ABC,BC,BC,BC,BC,ABC,ABC,ABCD,B
res_a_012,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_013,B,B,B,B,B,B,B,B,B
res_a_014,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
res_a_015,A,A,A,A,A,A,A,A,A
res_a_016,CD,CD,ACD,ACD,ACD,ACD,ACD,ACD,ACD
res_a_017,A,AB,AB,AB,AB,AB,AB,ABD,AB
res_a_018,A,A,A,A,A,A,A,B,B
res_a_019,AB,AB,AB,AB,AB,AB,AB,AB,AB
res_a_020,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD,ABD
